Organization_Name,Website_URL,Sector,What_They_Do,Estimated_Staff_Size,Sensitive_Data_Handled,Contact_Name,Contact_Title,Contact_Link,Priority
"Minkah-Premo, Osei-Bonsu, Bruce-Cathline & Partners",https://minkahpremo.com,Law,"Full-service law firm providing corporate, commercial, and litigation services",25-50,"Legal client records, corporate documents, confidential case files",Managing Partner,Managing Partner,N/A,MEDIUM
Ashong Benjamin & Associates,https://ashongbenjamin.com,Law,Corporate law firm specializing in commercial litigation and advisory,20-40,"Client legal files, corporate contracts, confidential case information",N/A,Managing Partner,N/A,MEDIUM
Renaissance Law Chambers,https://rlc.com.gh,Law,Criminal defense and general litigation law firm in Osu Accra,20-35,"Criminal case files, client personal information, court documents",N/A,Managing Partner,N/A,MEDIUM
Dotse@Law,https://dotselaw.com,Law,Law firm specializing in criminal litigation and immigration advisory,20-30,"Immigration client records, criminal case files, personal identification data",N/A,Lead Attorney,N/A,MEDIUM
Sory@Law,https://sorylawgh.com,Law,East Legon law firm focused on criminal litigation and immigration law,20-30,"Client immigration records, legal case files, personal identification",N/A,Managing Partner,N/A,MEDIUM
Integri Solicitors & Advocates,https://integrisa.com,Law,"Law firm specializing in juvenile justice, cybercrime, and general defense",20-35,"Juvenile case records, cybercrime evidence, confidential legal files",N/A,Managing Partner,N/A,HIGH
Prime Chartered Accountants,https://pca-gh.com,Accounting,"Indigenous Ghanaian firm providing accounting, tax, audit and advisory services",25-45,"Client financial records, tax returns, audit reports, business financial data",N/A,Managing Partner,N/A,HIGH
A.G. Neequaye Accounting Services,N/A,Accounting,Accounting services firm in Asylum Down Accra,20-35,"Client accounting records, financial statements, tax documentation",N/A,Owner,N/A,MEDIUM
AA & K Chartered Accountants,N/A,Accounting,Chartered accountants firm in Tesano Accra,20-40,"Client financial records, audit files, tax returns",N/A,Managing Partner,N/A,MEDIUM
"Adjei, Ansah & Associates",N/A,Accounting,Chartered accountants in North Kaneshie Accra,20-35,"Client financial data, accounting records, business tax information",N/A,Managing Partner,N/A,MEDIUM
Alex Thompson & Associates,N/A,Accounting,Accounting firm on Atta Mills High Street Accra,20-35,"Client financial records, bookkeeping data, tax documentation",N/A,Owner,N/A,MEDIUM
AOB & Associates,N/A,Accounting,Chartered accountants in East Legon Accra,20-35,"Client financial statements, audit records, tax returns",N/A,Managing Partner,N/A,MEDIUM
Nyaho Medical Centre,https://nyahomedical.org,Healthcare,Leading private medical center in Airport Residential Area Accra,80-120,"Patient medical records, health insurance data, personal health information",N/A,HR Manager,N/A,HIGH
Lister Hospital,https://listerhospital.com.gh,Healthcare,24-hour private hospital in East Airport Accra,60-100,"Patient medical records, lab results, insurance claims, personal health data",N/A,Operations Director,N/A,HIGH
Akai House Clinic,https://akaihouseclinic.com,Healthcare,Private clinic in Cantonments Accra,30-50,"Patient medical records, consultation notes, prescription data",N/A,Clinic Manager,N/A,HIGH
Franklyn Medical Centre,https://franklynmedical.com,Healthcare,Medical center in Kokomlemle Accra,30-50,"Patient health records, medical histories, consultation data",N/A,Medical Director,N/A,HIGH
Ergon German Clinic,N/A,Healthcare,German-specialty clinic in Abelenkpe Accra,25-45,"Patient medical records, specialist consultation notes, health data",N/A,Clinic Manager,N/A,MEDIUM
OMNI Healthcare/Child and Associates,N/A,Healthcare,Healthcare provider in Dzorwulu Accra,25-45,"Patient medical records, pediatric health data, insurance information",N/A,Medical Director,N/A,MEDIUM
West Africa Civil Society Institute (WACSI),https://wacsi.org,NGO,Civil society organization in East Legon promoting governance and democracy,30-50,"Donor information, beneficiary data, grant documentation, program records",N/A,Operations Director,N/A,HIGH
DAI Global Ghana,https://dai.com,NGO,International development organization with Accra office,50-100,"Donor funds documentation, beneficiary data, project records, partner information",N/A,Country Director,N/A,HIGH
DKT International Ghana,https://dktghana.org,NGO,Reproductive health and family planning NGO in Kanda Accra,30-60,"Beneficiary health data, donor information, program participant records",N/A,Country Director,N/A,HIGH
African Centre for Peace Building (AFCOPB),N/A,NGO,Peace building organization in Adenta Housing Accra,20-40,"Donor information, beneficiary data, program records, partner contacts",N/A,Executive Director,N/A,MEDIUM
Centre for the Development of People (CEDEP),https://cedepghana.org,NGO,"Development NGO focusing on health, education and community development",30-55,"Donor records, beneficiary personal data, grant documentation",N/A,Executive Director,N/A,HIGH
Discovery Learning Alliance,https://discoverylearningalliance.org,NGO,UK-registered education NGO operating in Ghana,25-45,"Student records, donor information, partner organization data",N/A,Country Director,N/A,MEDIUM
Enterprise Life,https://enterpriselife.com.gh,Insurance,Life insurance company in Ghana,50-80,"Policyholder personal data, financial records, health information, claims data",N/A,HR Manager,N/A,HIGH
African Life,https://africanlife.com.gh,Insurance,Life insurance provider in Ghana,50-80,"Customer policy data, financial information, health records, claims documentation",N/A,HR Manager,N/A,HIGH
Allianz Life Ghana,https://allianz.com.gh,Insurance,International life insurance company in Ghana,40-70,"Policyholder data, financial records, health information",N/A,Operations Director,N/A,HIGH
A-Plus Insurance Co.,N/A,Insurance,General insurance company in Ghana,30-55,"Customer policy data, claims information, financial records",N/A,HR Manager,N/A,MEDIUM
Donewell Life Insurance Company,N/A,Insurance,Life insurance provider in Ghana,30-50,"Policyholder personal data, financial information, health records",N/A,Managing Director,N/A,MEDIUM
Universal Insurance Company (UIC),https://uic.com.gh,Insurance,"General insurance company, member of Ghana Insurers Association",40-65,"Customer policy data, claims records, financial information",N/A,Operations Director,N/A,HIGH
